player_name,salary
Shaun Livingston,"$666,666"
Malik Fitts,"$630,874"
Sam Hauser,"$619,498"
Greg Monroe,"$612,805"
Amir Coffey,"$573,576"
Joe Wieskamp,"$563,663"
Keifer Sykes,"$558,345"
Haywood Highsmith,"$547,701"
Nik Stauskas,"$534,993"
Davon Reed,"$532,398"
Wenyen Gabriel,"$522,015"
Skylar Mays,"$510,907"
Georgios Kalaitzakis,"$499,852"
RJ Nembhard,"$491,876"
Chris Silva,"$479,650"
Kessler Edwards,"$463,211"
Trent Forrest,"$463,211"
Sharife Cooper,"$462,629"
Brodric Thomas,"$462,629"
David Duke,"$462,629"
Arnoldas Kulboka,"$462,629"
Scottie Lewis,"$462,629"
Tyler Cook,"$462,629"
Markus Howard,"$462,629"
Jamorko Pickett,"$462,629"
Sean Chris Smith,"$462,629"
Chris Chiozza,"$462,629"
Jay Scrubb,"$462,629"
Yves Pons,"$462,629"
Sandro Mamukelashvili,"$462,629"
Nathan Knight,"$462,629"
McKinley Wright,"$462,629"
Jericho Sims,"$462,629"
Ignas Brazdeikis,"$462,629"
Keljin Blevins,"$462,629"
Neemias Queta,"$462,629"
Justin Champagnie,"$462,629"
David Johnson,"$462,629"
Joel Ayayi,"$462,629"
Cassius Winston,"$462,629"
Justin Anderson,"$445,828"
Theo Pinson,"$440,710"
Charlie Brown,"$431,151"
James Ennis,"$386,127"
Langston Galloway,"$386,127"
Tim Frazier,"$386,127"
Kyle Guy,"$383,079"
Sam Dekker,"$350,000"
Quinndary Weatherspoon,"$346,491"
Brandon Goodwin,"$343,988"
Malcolm Hill,"$324,373"
Louis King,"$316,396"
Justin Jackson,"$308,493"
Shaquille Harrison,"$308,493"
DJ Wilson,"$308,493"
Jeff Dowtin,"$305,761"
Trevelin Queen,"$303,102"
Paul Watson,"$303,102"
Myles Powell,"$300,443"
Jontay Porter,"$300,000"
Mason Jones,"$295,125"
Eugene Omoruyi,"$281,831"
Brandon Knight,"$274,672"
Justin Robinson,"$265,953"
Ja'Vonte Smart,"$265,878"
Mychal Mulder,"$257,902"
Tyler Johnson,"$257,418"
Cassius Stanley,"$256,734"
Zylan Cheatham,"$256,734"
Devon Dotson,"$239,291"
Marcus Garrett,"$236,632"
Lindell Wigginton,"$233,973"
Jay Huff,"$225,997"
Olivier Sarr,"$223,339"
Aaron Henry,"$223,338"
Freddie Gillespie,"$221,156"
JaQuori McLaughlin,"$220,679"
Rayjon Tucker,"$220,639"
Tacko Fall,"$218,021"
Petr Cornelie,"$218,021"
Juwan Morgan,"$211,046"
Damyean Dotson,"$205,662"
Xavier Moon,"$202,069"
Tyrone Wallace,"$198,760"
Norvel Pelle,"$191,860"
Jaylen Hoard,"$191,860"
Tremont Waters,"$191,860"
Reggie Perry,"$188,272"
Devin Cannady,"$185,578"
