PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1628367,00,0,291,92,23.1,4.2,10.1,0.416,0.9,3.1,0.292,2.0,2.9,0.68,0.9,3.1,4.0,1.8,0.9,0.6,1.8,2.5,11.3
202704,00,0,703,466,25.6,4.9,11.5,0.424,1.3,3.9,0.345,2.0,2.3,0.854,0.5,2.5,3.0,4.3,0.7,0.1,1.9,2.0,13.1
1628991,00,0,204,195,27.1,5.6,12.3,0.453,1.7,4.8,0.351,3.0,3.8,0.791,1.3,3.9,5.1,1.2,0.9,1.8,1.7,3.8,15.8
2544,00,0,1366,1365,38.2,9.9,19.6,0.505,1.6,4.5,0.346,5.7,7.8,0.734,1.2,6.3,7.5,7.4,1.6,0.8,3.5,1.8,27.1
1629660,00,0,112,5,17.1,2.6,6.5,0.398,1.2,3.6,0.344,0.7,0.9,0.784,0.3,1.6,1.9,2.4,0.6,0.1,0.9,1.5,7.1
1630198,00,0,96,2,10.3,1.1,3.2,0.355,0.9,2.5,0.349,0.5,0.6,0.855,0.1,0.8,1.0,0.6,0.3,0.1,0.3,0.8,3.7
1629661,00,0,183,36,24.2,3.6,8.2,0.44,2.1,5.5,0.39,1.1,1.3,0.843,0.7,2.9,3.6,1.4,0.7,0.3,0.7,1.6,10.4
1630525,00,0,2,0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1630552,00,0,22,0,5.5,1.0,1.9,0.537,0.1,0.6,0.231,0.2,0.3,0.714,0.1,1.1,1.2,0.1,0.1,0.1,0.4,0.4,2.4
1629640,00,0,161,142,28.9,5.4,11.2,0.478,1.4,3.7,0.385,2.2,2.9,0.753,1.1,4.6,5.8,1.8,0.7,0.2,1.1,2.0,14.4
1630553,00,0,37,12,18.8,2.6,7.4,0.353,0.9,2.7,0.34,1.1,1.4,0.804,0.6,1.5,2.2,2.1,0.8,0.3,1.2,1.9,7.2
1626169,00,0,419,104,20.1,2.3,6.0,0.384,0.8,2.6,0.3,0.9,1.2,0.754,0.6,2.6,3.1,1.5,0.9,0.2,1.1,2.0,6.3
203999,00,0,527,486,30.4,7.6,13.9,0.542,1.0,2.9,0.345,3.5,4.3,0.83,2.6,7.7,10.4,6.2,1.2,0.7,2.8,2.8,19.7
1627745,00,0,199,74,15.2,2.2,3.3,0.665,0.1,0.2,0.302,1.1,1.6,0.702,1.2,2.3,3.4,0.8,0.4,0.7,0.7,2.3,5.6
1630529,00,0,78,69,29.9,3.5,7.4,0.476,0.7,2.2,0.337,1.8,2.1,0.84,1.3,2.5,3.8,2.1,1.7,0.8,1.3,3.1,9.5
1630539,00,0,21,0,3.0,0.4,0.7,0.643,0.0,0.1,0.5,0.1,0.4,0.375,0.1,0.4,0.5,0.2,0.0,0.1,0.3,0.4,1.0
1630222,00,0,36,1,10.7,1.6,3.8,0.428,0.7,1.9,0.357,1.4,2.2,0.658,0.2,1.6,1.8,1.3,0.3,0.0,0.8,0.9,5.4
1630200,00,0,106,12,13.4,1.9,3.9,0.487,0.1,0.5,0.232,0.8,1.0,0.8,0.3,1.3,1.7,2.6,0.5,0.1,0.6,0.9,4.8
1626145,00,0,455,72,18.4,2.4,5.5,0.435,0.7,1.9,0.352,0.7,0.9,0.818,0.2,1.5,1.8,3.7,1.0,0.1,0.7,0.8,6.2
1627884,00,0,280,97,19.8,2.4,4.8,0.509,0.5,1.6,0.298,1.2,1.7,0.699,1.3,2.2,3.4,0.7,0.7,0.7,0.6,2.0,6.5
201599,00,0,980,776,26.7,3.7,5.5,0.673,0.0,0.0,0.083,1.7,3.6,0.475,3.1,7.3,10.3,1.0,0.5,1.5,1.4,2.5,9.1
202709,00,0,728,173,22.2,2.7,6.2,0.444,0.6,1.6,0.344,1.1,1.3,0.787,0.5,2.1,2.6,3.0,0.8,0.2,1.0,1.6,7.1
1628379,00,0,297,74,23.5,3.6,8.0,0.449,1.9,4.4,0.425,0.9,1.1,0.869,0.3,2.6,2.9,2.0,0.5,0.1,0.9,1.5,10.0
1630296,00,0,11,0,17.9,3.0,6.5,0.458,0.5,1.9,0.286,0.6,1.2,0.538,1.2,3.4,4.5,1.0,0.9,1.0,1.0,2.4,7.2
1630557,00,0,77,36,23.4,3.0,6.7,0.455,1.5,4.2,0.35,0.7,0.8,0.871,0.7,2.0,2.7,1.1,0.5,0.3,0.6,1.2,8.2
1628467,00,0,326,135,22.7,2.5,5.6,0.446,1.2,3.5,0.359,0.8,1.0,0.796,1.2,3.6,4.8,1.1,0.4,0.9,0.7,2.1,7.1
1630233,00,0,70,2,7.8,1.2,2.7,0.436,0.1,0.7,0.217,1.3,1.6,0.765,0.8,1.4,2.2,0.4,0.2,0.3,0.5,0.9,3.7
1628995,00,0,212,61,18.9,2.7,7.3,0.369,1.1,3.3,0.34,1.2,1.7,0.705,0.5,2.4,2.9,0.8,0.4,0.3,0.9,1.6,7.7
1629723,00,0,134,7,15.3,1.7,3.3,0.522,0.6,1.4,0.406,0.4,0.6,0.654,1.0,2.7,3.8,1.3,0.6,0.3,0.4,1.0,4.4
1627788,00,0,256,49,18.7,2.7,6.8,0.405,1.5,4.1,0.355,0.9,1.2,0.769,0.3,1.9,2.2,1.3,0.6,0.1,0.7,1.1,7.9
1628436,00,0,148,35,14.3,2.0,4.9,0.408,1.0,3.0,0.324,0.5,0.7,0.753,0.6,2.0,2.6,1.0,0.3,0.8,0.4,1.0,5.5
1630249,00,0,30,8,23.0,2.3,5.6,0.407,1.1,3.3,0.327,0.6,0.7,0.864,0.6,2.8,3.4,1.9,0.6,0.3,1.0,2.2,6.2
1629083,00,0,2,0,2.7,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1630228,00,0,70,12,16.9,3.4,6.6,0.513,0.7,2.1,0.336,1.9,2.7,0.684,0.8,2.6,3.3,0.9,0.4,0.3,1.1,2.1,9.3
1628398,00,0,342,212,30.4,5.9,13.1,0.449,1.9,5.5,0.339,2.0,2.7,0.723,1.1,5.1,6.2,2.2,0.6,0.5,1.9,2.1,15.6
203897,00,0,478,391,31.8,7.1,15.4,0.461,2.2,5.6,0.386,3.5,4.2,0.83,0.5,3.5,3.9,3.9,0.9,0.3,2.7,2.2,19.8
1630237,00,0,26,3,16.3,1.8,4.6,0.383,0.9,2.8,0.315,0.7,0.8,0.857,1.0,1.7,2.7,1.0,0.2,0.2,0.7,1.3,5.1
203087,00,0,573,136,20.8,3.7,8.4,0.439,1.0,3.1,0.342,1.7,1.9,0.857,0.5,3.1,3.6,1.6,0.7,0.4,0.8,1.6,10.1
1629111,00,0,54,1,10.9,1.9,3.8,0.495,0.5,1.6,0.326,0.6,0.8,0.829,1.2,1.4,2.6,0.8,0.2,0.3,0.6,1.0,4.9
1629641,00,0,98,11,14.5,1.3,3.4,0.4,0.4,1.3,0.3,0.5,0.8,0.633,0.6,1.3,1.9,0.5,0.4,0.3,0.4,1.1,3.6
1627774,00,0,243,49,12.8,1.9,4.1,0.46,0.5,1.8,0.3,0.5,0.7,0.719,0.4,1.3,1.7,0.5,0.4,0.3,0.5,1.0,4.8
1627747,00,0,318,180,27.5,5.5,12.6,0.437,1.4,4.1,0.333,2.3,3.1,0.737,0.7,3.1,3.8,4.0,1.1,0.3,1.9,2.0,14.6
1627814,00,0,216,53,21.0,2.9,6.7,0.434,1.2,3.5,0.357,1.2,1.4,0.868,0.5,3.0,3.5,1.4,0.7,0.1,0.7,1.6,8.2
1630240,00,0,85,7,16.3,2.0,4.6,0.434,0.3,1.0,0.265,1.4,1.9,0.731,0.4,1.7,2.2,3.3,0.8,0.3,1.1,1.4,5.6
203458,00,0,570,235,18.9,3.0,5.8,0.507,0.2,0.6,0.329,1.6,2.3,0.683,1.9,4.0,5.9,0.9,0.4,1.0,1.2,2.6,7.7
202695,00,0,576,549,31.3,6.9,14.0,0.493,1.5,3.9,0.384,3.9,4.5,0.858,1.2,5.2,6.4,2.9,1.8,0.6,1.6,1.7,19.2
1630575,00,0,2,0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5
1630184,00,0,78,0,16.0,2.4,6.2,0.391,0.7,2.3,0.298,0.7,0.8,0.841,0.3,1.1,1.4,2.2,0.6,0.1,0.8,1.3,6.2
203081,00,0,711,711,36.3,8.1,18.4,0.437,3.0,8.1,0.373,5.5,6.2,0.893,0.6,3.6,4.2,6.6,1.0,0.3,2.8,1.9,24.6
